index,income_total,income_type,gender,car,reality,child_num,edu_type,family_type,house_type,FLAG_MOBIL,phone_case,email,occyp_type,family_size,begin_month,YEARS_BIRTH,ADD_DAYS_BIRTH,YEARS_EMPLOYED,ADD_DAYS_EMPLOYED,credit
79,94500.0,Working,F,Y,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,High skill tech staff,2.0,-53.0,49,210,28,144,2.0
80,292500.0,Commercial associate,M,N,Y,1,Secondary / secondary special,Civil marriage,House / apartment,1,3,0,Laborers,3.0,-2.0,40,185,8,98,1.0
81,135000.0,Commercial associate,F,Y,N,0,Higher education,Single / not married,House / apartment,1,0,0,Sales staff,1.0,-25.0,24,206,2,321,2.0
82,315000.0,Commercial associate,F,Y,N,0,Higher education,Married,House / apartment,1,1,0,Accountants,2.0,-18.0,53,150,4,218,0.0
83,382500.0,Commercial associate,M,Y,N,2,Higher education,Married,House / apartment,1,2,0,Managers,4.0,-20.0,31,211,7,67,2.0
84,112500.0,Commercial associate,M,N,Y,2,Secondary / secondary special,Married,House / apartment,1,2,0,Laborers,4.0,-12.0,29,289,3,79,2.0
85,198000.0,Pensioner,M,N,Y,0,Higher education,Married,House / apartment,1,0,0,,2.0,-11.0,67,207,unemployed,unemployed,1.0
86,225000.0,Commercial associate,F,N,N,0,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2.0,-5.0,28,84,4,222,1.0
87,180000.0,Working,M,Y,Y,0,Secondary / secondary special,Married,House / apartment,1,3,0,Managers,2.0,-48.0,34,194,7,65,2.0
88,225000.0,Working,F,N,Y,0,Secondary / secondary special,Separated,House / apartment,1,1,0,Laborers,1.0,-3.0,36,305,7,173,1.0
89,135000.0,Working,M,Y,Y,0,Secondary / secondary special,Married,With parents,1,0,0,Core staff,2.0,-56.0,44,211,8,191,0.0
90,112500.0,Pensioner,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,,2.0,-13.0,61,131,unemployed,unemployed,2.0
91,54000.0,Pensioner,F,N,N,0,Secondary / secondary special,Separated,House / apartment,1,0,0,,1.0,-38.0,56,181,unemployed,unemployed,2.0
92,270000.0,Working,M,N,N,0,Secondary / secondary special,Single / not married,House / apartment,1,0,0,Drivers,1.0,-22.0,41,248,3,236,2.0
93,202500.0,Working,M,N,Y,1,Secondary / secondary special,Married,House / apartment,1,0,0,,3.0,-54.0,45,352,8,358,2.0
94,130500.0,Working,F,N,N,0,Secondary / secondary special,Married,With parents,1,0,0,Core staff,2.0,-1.0,23,24,3,228,0.0
95,202500.0,Working,F,N,N,0,Secondary / secondary special,Married,House / apartment,1,1,0,Cleaning staff,2.0,-4.0,36,143,2,249,1.0
96,346500.0,Commercial associate,M,Y,N,0,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2.0,-11.0,24,230,4,106,2.0
97,135000.0,Working,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,Waiters/barmen staff,2.0,-21.0,43,228,2,231,1.0
98,225000.0,Working,M,Y,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,,2.0,-25.0,39,241,11,220,2.0
99,225000.0,Commercial associate,M,N,N,1,Secondary / secondary special,Married,House / apartment,1,0,0,,3.0,-28.0,35,90,2,74,2.0
100,175500.0,Working,M,N,Y,1,Secondary / secondary special,Married,Rented apartment,1,0,0,Sales staff,3.0,-2.0,29,332,1,12,0.0
101,157500.0,Commercial associate,F,N,N,0,Higher education,Married,House / apartment,1,3,0,Laborers,2.0,-33.0,46,66,3,167,0.0
102,49500.0,Pensioner,M,N,Y,0,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,,2.0,-3.0,60,229,unemployed,unemployed,0.0
103,270000.0,Pensioner,F,Y,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,,2.0,-53.0,47,331,unemployed,unemployed,2.0
104,180000.0,Commercial associate,F,N,Y,0,Incomplete higher,Married,House / apartment,1,0,0,Sales staff,2.0,-14.0,49,36,13,263,0.0
105,30150.0,Pensioner,M,N,Y,0,Lower secondary,Married,House / apartment,1,0,0,,2.0,-39.0,65,45,unemployed,unemployed,2.0
106,202500.0,Working,F,N,Y,2,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,Cleaning staff,4.0,-1.0,37,138,10,233,0.0
107,112500.0,Commercial associate,F,Y,Y,1,Higher education,Civil marriage,House / apartment,1,0,1,Core staff,3.0,-6.0,28,331,8,80,1.0
108,90000.0,Working,F,N,N,0,Higher education,Separated,House / apartment,1,0,0,Core staff,1.0,-44.0,59,352,4,66,1.0
109,270000.0,Working,M,N,N,0,Secondary / secondary special,Married,House / apartment,1,0,0,,2.0,-36.0,32,142,11,231,2.0
110,252000.0,State servant,F,N,Y,1,Higher education,Married,House / apartment,1,0,0,Core staff,3.0,-41.0,33,255,10,203,2.0
111,216000.0,Working,F,N,Y,1,Higher education,Single / not married,House / apartment,1,1,0,Core staff,2.0,-18.0,28,292,4,322,2.0
112,157500.0,Working,F,N,Y,0,Secondary / secondary special,Single / not married,House / apartment,1,1,0,Private service staff,1.0,-47.0,48,18,21,11,0.0
113,112500.0,Working,F,N,Y,0,Secondary / secondary special,Separated,House / apartment,1,0,0,,1.0,-3.0,49,89,13,13,0.0
114,405000.0,Commercial associate,F,Y,Y,0,Secondary / secondary special,Married,House / apartment,1,0,1,,2.0,-8.0,52,341,6,199,2.0
115,180000.0,Commercial associate,F,N,N,2,Secondary / secondary special,Married,House / apartment,1,2,0,Sales staff,4.0,-41.0,40,186,2,242,2.0
116,144000.0,Working,F,N,N,0,Secondary / secondary special,Married,Municipal apartment,1,3,0,Sales staff,2.0,-28.0,45,216,27,133,2.0
117,126000.0,Commercial associate,F,N,Y,2,Higher education,Married,House / apartment,1,0,1,Managers,4.0,-45.0,34,1,4,313,1.0
118,67500.0,Working,F,N,N,0,Secondary / secondary special,Civil marriage,Municipal apartment,1,0,0,Sales staff,2.0,-46.0,53,15,5,87,2.0
119,297000.0,Commercial associate,F,N,Y,0,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,Laborers,1.0,-7.0,42,189,8,314,0.0
120,135000.0,Working,F,Y,Y,0,Secondary / secondary special,Widow,House / apartment,1,0,0,,1.0,-34.0,45,216,3,312,1.0
121,157500.0,Working,F,N,Y,2,Secondary / secondary special,Single / not married,House / apartment,1,0,0,,3.0,-5.0,40,117,4,36,1.0
122,225000.0,Pensioner,F,N,Y,0,Higher education,Married,House / apartment,1,1,0,,2.0,-28.0,59,237,unemployed,unemployed,2.0
123,90000.0,Pensioner,F,Y,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,,2.0,-10.0,58,284,unemployed,unemployed,2.0
124,94500.0,Commercial associate,F,N,N,0,Secondary / secondary special,Married,House / apartment,1,2,0,Sales staff,2.0,-58.0,41,40,5,2,1.0
125,112500.0,Pensioner,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,,2.0,-11.0,62,297,unemployed,unemployed,1.0
126,216000.0,Pensioner,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,,2.0,-37.0,63,118,unemployed,unemployed,1.0
127,49500.0,Pensioner,F,N,N,0,Higher education,Married,Municipal apartment,1,0,0,,2.0,-11.0,57,352,unemployed,unemployed,1.0
128,225000.0,Commercial associate,F,Y,Y,0,Higher education,Single / not married,House / apartment,1,2,0,Core staff,1.0,-18.0,30,252,3,175,2.0
129,175500.0,Commercial associate,F,N,Y,0,Higher education,Married,House / apartment,1,3,0,Managers,2.0,-40.0,41,283,6,37,1.0
130,112500.0,Working,M,Y,Y,0,Secondary / secondary special,Single / not married,House / apartment,1,0,0,,1.0,-25.0,27,97,4,153,2.0
131,135000.0,Working,F,N,N,2,Secondary / secondary special,Married,With parents,1,0,0,Core staff,4.0,-10.0,30,346,4,210,0.0
132,103500.0,Commercial associate,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,3,0,Sales staff,2.0,-52.0,46,217,4,109,1.0
133,144000.0,Working,F,Y,Y,2,Secondary / secondary special,Married,House / apartment,1,3,0,,4.0,-56.0,30,136,8,17,1.0
134,225000.0,Working,M,N,Y,2,Incomplete higher,Married,House / apartment,1,3,0,Core staff,4.0,-6.0,40,277,0,139,1.0
135,202500.0,Commercial associate,M,Y,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2.0,-44.0,40,293,7,49,1.0
136,157500.0,State servant,F,N,Y,2,Secondary / secondary special,Married,House / apartment,1,0,1,Managers,4.0,-7.0,34,272,2,202,0.0
137,135000.0,Commercial associate,F,N,N,0,Higher education,Married,With parents,1,0,1,Core staff,2.0,-54.0,42,30,1,48,1.0
138,112500.0,Pensioner,F,N,N,0,Secondary / secondary special,Separated,House / apartment,1,0,0,,1.0,-15.0,64,59,unemployed,unemployed,2.0
139,72000.0,Working,F,N,N,0,Secondary / secondary special,Single / not married,House / apartment,1,2,0,Cleaning staff,1.0,0.0,51,184,4,6,0.0
140,225000.0,State servant,M,Y,N,2,Higher education,Married,With parents,1,0,0,High skill tech staff,4.0,-43.0,29,352,4,79,2.0
141,112500.0,Commercial associate,F,N,N,0,Secondary / secondary special,Married,House / apartment,1,1,0,Sales staff,2.0,-42.0,49,7,1,105,2.0
142,202500.0,Working,M,N,N,0,Secondary / secondary special,Married,Municipal apartment,1,0,0,Laborers,2.0,-2.0,48,176,1,47,1.0
143,157500.0,Working,F,Y,N,1,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,3.0,-38.0,40,283,2,280,1.0
144,157500.0,State servant,F,N,Y,1,Secondary / secondary special,Single / not married,House / apartment,1,0,0,Waiters/barmen staff,2.0,-23.0,34,266,3,255,0.0
145,121500.0,State servant,F,Y,Y,0,Secondary / secondary special,Married,House / apartment,1,2,0,,2.0,-36.0,54,278,8,311,1.0
146,135000.0,Commercial associate,F,N,N,0,Higher education,Married,With parents,1,0,1,Core staff,2.0,-8.0,42,30,1,48,0.0
147,360000.0,State servant,F,Y,Y,0,Higher education,Separated,House / apartment,1,0,0,Core staff,1.0,-52.0,52,325,5,80,1.0
148,99000.0,Pensioner,F,N,Y,0,Secondary / secondary special,Separated,House / apartment,1,1,0,,1.0,-48.0,58,335,unemployed,unemployed,1.0
149,216000.0,Working,M,Y,Y,1,Secondary / secondary special,Married,Rented apartment,1,0,0,Laborers,3.0,-57.0,46,261,3,362,2.0
150,157500.0,Commercial associate,F,N,N,0,Higher education,Separated,With parents,1,0,0,,1.0,-23.0,43,42,1,67,1.0
151,135000.0,Working,M,Y,Y,2,Secondary / secondary special,Married,House / apartment,1,3,0,,4.0,-9.0,38,286,6,5,2.0
152,270000.0,Commercial associate,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,,2.0,-9.0,62,21,9,328,2.0
153,292500.0,Working,F,Y,N,0,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,,2.0,-14.0,41,155,2,5,2.0
154,945000.0,Working,M,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,Managers,2.0,-11.0,57,31,5,13,2.0
155,270000.0,Commercial associate,F,Y,Y,0,Higher education,Married,House / apartment,1,0,0,Accountants,2.0,-44.0,54,250,15,204,2.0
156,180000.0,Commercial associate,F,Y,Y,1,Higher education,Separated,House / apartment,1,0,0,Core staff,2.0,-49.0,50,99,19,270,2.0
157,67500.0,Pensioner,F,N,Y,0,Secondary / secondary special,Single / not married,House / apartment,1,0,0,,1.0,-15.0,61,187,unemployed,unemployed,2.0
158,157500.0,Working,M,Y,N,0,Higher education,Separated,House / apartment,1,3,0,Accountants,1.0,-17.0,28,290,5,280,0.0
159,180000.0,Commercial associate,F,Y,N,1,Higher education,Civil marriage,With parents,1,0,0,,3.0,-28.0,26,214,1,227,1.0
160,90000.0,State servant,F,N,Y,0,Secondary / secondary special,Separated,House / apartment,1,0,0,,1.0,-7.0,39,36,0,302,0.0
161,135000.0,Pensioner,M,N,N,0,Secondary / secondary special,Married,Municipal apartment,1,0,0,,2.0,-1.0,63,129,unemployed,unemployed,1.0
162,112500.0,Pensioner,F,N,Y,0,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,,2.0,-27.0,54,295,unemployed,unemployed,2.0
163,202500.0,Working,F,N,N,1,Secondary / secondary special,Married,House / apartment,1,0,0,Managers,3.0,-31.0,33,2,9,158,2.0
164,135000.0,Pensioner,F,N,Y,0,Higher education,Married,House / apartment,1,0,0,,2.0,-41.0,56,0,unemployed,unemployed,0.0
165,157500.0,State servant,F,N,Y,1,Secondary / secondary special,Married,House / apartment,1,0,0,,3.0,-12.0,37,185,10,98,0.0
166,112500.0,State servant,F,Y,N,0,Secondary / secondary special,Widow,House / apartment,1,0,0,Secretaries,1.0,-48.0,53,193,16,40,2.0
167,225000.0,Commercial associate,M,Y,Y,1,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,3.0,-19.0,33,198,7,191,0.0
168,225000.0,Working,F,Y,Y,0,Secondary / secondary special,Married,House / apartment,1,1,0,High skill tech staff,2.0,-23.0,48,2,4,291,1.0
169,117000.0,Working,F,N,Y,1,Higher education,Married,House / apartment,1,2,0,Cleaning staff,3.0,-42.0,52,9,1,186,1.0
170,315000.0,State servant,F,Y,Y,0,Higher education,Married,House / apartment,1,0,1,Drivers,2.0,-37.0,53,226,2,351,1.0
171,189000.0,Pensioner,F,N,Y,0,Incomplete higher,Widow,House / apartment,1,0,0,,1.0,-55.0,59,310,unemployed,unemployed,2.0
172,135000.0,Working,M,Y,Y,0,Secondary / secondary special,Married,House / apartment,1,2,0,Laborers,2.0,-46.0,52,191,21,139,0.0
173,270000.0,Commercial associate,F,Y,Y,1,Academic degree,Married,House / apartment,1,0,0,Sales staff,3.0,-40.0,33,110,2,249,0.0
174,283500.0,Working,M,N,N,2,Secondary / secondary special,Married,House / apartment,1,0,0,High skill tech staff,4.0,-7.0,39,322,6,327,1.0
175,126000.0,Working,F,N,Y,1,Higher education,Married,House / apartment,1,3,1,Sales staff,3.0,-21.0,34,252,3,264,1.0
176,270000.0,Working,M,Y,N,1,Incomplete higher,Married,House / apartment,1,0,0,Managers,3.0,-25.0,41,88,9,101,0.0
177,270000.0,Commercial associate,M,Y,N,0,Secondary / secondary special,Married,House / apartment,1,0,0,Drivers,2.0,-48.0,44,137,8,80,2.0
178,180000.0,Working,M,Y,Y,3,Secondary / secondary special,Married,House / apartment,1,3,0,High skill tech staff,5.0,-60.0,38,322,2,94,0.0
179,292500.0,Working,F,N,N,1,Incomplete higher,Married,House / apartment,1,3,0,Sales staff,3.0,-15.0,34,44,11,15,0.0
180,252000.0,State servant,M,Y,N,1,Higher education,Married,House / apartment,1,3,0,High skill tech staff,3.0,-13.0,34,73,4,190,0.0
181,270000.0,Working,F,N,Y,1,Secondary / secondary special,Civil marriage,Municipal apartment,1,0,0,Sales staff,3.0,-41.0,30,236,4,293,0.0
182,45000.0,Working,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,Medicine staff,2.0,-44.0,55,31,17,98,2.0
183,180000.0,State servant,M,Y,Y,0,Higher education,Married,House / apartment,1,0,0,High skill tech staff,2.0,-12.0,27,236,1,278,0.0
184,202500.0,Commercial associate,F,N,Y,0,Secondary / secondary special,Single / not married,House / apartment,1,0,0,High skill tech staff,1.0,-22.0,52,73,9,344,0.0
185,225000.0,Working,F,N,Y,0,Higher education,Single / not married,House / apartment,1,1,0,Managers,1.0,-7.0,33,150,7,37,1.0
186,180000.0,Working,M,N,Y,0,Secondary / secondary special,Single / not married,House / apartment,1,2,0,,1.0,-8.0,29,224,6,144,1.0
187,180000.0,Working,M,N,Y,0,Secondary / secondary special,Single / not married,House / apartment,1,2,0,,1.0,-44.0,29,224,6,144,1.0
188,90000.0,Working,F,N,Y,0,Secondary / secondary special,Civil marriage,With parents,1,3,0,Sales staff,2.0,-36.0,39,151,0,139,2.0
189,90000.0,Working,F,N,Y,0,Secondary / secondary special,Married,House / apartment,1,0,0,Medicine staff,2.0,-29.0,54,364,0,221,1.0
190,67500.0,Pensioner,F,N,Y,0,Secondary / secondary special,Single / not married,House / apartment,1,1,0,,1.0,-51.0,61,346,unemployed,unemployed,0.0
191,202500.0,Working,F,N,Y,0,Secondary / secondary special,Single / not married,House / apartment,1,1,0,Core staff,1.0,-36.0,48,283,27,224,1.0
